"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"86","DELL","Dell Technologies Inc.","Акции иностранного эмитента обыкновенные класса C","US24703L2025","17.08.2022"
"87","DG","Dollar General Corporation","Акции иностранного эмитента обыкновенные","US2566771059","10.08.2022"
"88","DHI","D.R. Horton, Inc.","Акции иностранного эмитента обыкновенные","US23331A1097","10.08.2022"
"89","DHR","Danaher Corporation","Акции иностранного эмитента обыкновенные","US2358511028","10.08.2022"
"90","DINO","HF Sinclair Corporation","Акции иностранного эмитента обыкновенные","US4039491000","17.08.2022"
"91","DIS","The Walt Disney Company","Акции иностранного эмитента обыкновенные","US2546871060","10.08.2022"
"92","DISH","DISH Network Corporation","Акции иностранного эмитента обыкновенные класса A","US25470M1099","10.08.2022"
"93","DKS","Dick's Sporting Goods, Inc.","Акции иностранного эмитента обыкновенные","US2533931026","17.08.2022"
"94","DLTR","Dollar Tree, Inc.","Акции иностранного эмитента обыкновенные","US2567461080","10.08.2022"
"95","DOCU","DocuSign, Inc.","Акции иностранного эмитента обыкновенные","US2561631068","10.08.2022"
"96","DOW","Dow Inc.","Акции иностранного эмитента обыкновенные","US2605571031","17.08.2022"
"97","DVN","Devon Energy Corporation","Акции иностранного эмитента обыкновенные","US25179M1036","10.08.2022"
"98","DXCM","DexCom, Inc.","Акции иностранного эмитента обыкновенные","US2521311074","17.08.2022"
"99","EBAY","eBay Inc.","Акции иностранного эмитента обыкновенные","US2786421030","10.08.2022"
"100","ECL","Ecolab Inc.","Акции иностранного эмитента обыкновенные","US2788651006","10.08.2022"
"101","ED","Consolidated Edison, Inc.","Акции иностранного эмитента обыкновенные","US2091151041","17.08.2022"
"102","EL","The Estee Lauder Companies Inc.","Акции иностранного эмитента обыкновенные класса A","US5184391044","17.08.2022"
"103","EMR","Emerson Electric Co.","Акции иностранного эмитента обыкновенные","US2910111044","17.08.2022"
"104","ENPH","Enphase Energy, Inc.","Акции иностранного эмитента обыкновенные","US29355A1079","10.08.2022"
"105","EOG","EOG Resources, Inc.","Акции иностранного эмитента обыкновенные","US26875P1012","10.08.2022"
"106","EQT","EQT Corporation","Акции иностранного эмитента обыкновенные","US26884L1098","10.08.2022"
"107","ES","Eversource Energy","Акции иностранного эмитента обыкновенные","US30040W1080","17.08.2022"
"108","ETRN","Equitrans Midstream Corporation","Акции иностранного эмитента обыкновенные","US2946001011","10.08.2022"
"109","ETSY","Etsy, Inc.","Акции иностранного эмитента обыкновенные","US29786A1060","10.08.2022"
"110","EW","Edwards Lifesciences Corporation","Акции иностранного эмитента обыкновенные","US28176E1082","17.08.2022"
"111","EXC","Exelon Corporation","Акции иностранного эмитента обыкновенные","US30161N1019","17.08.2022"
"112","EXPE","Expedia Group, Inc.","Акции иностранного эмитента обыкновенные","US30212P3038","17.08.2022"
"113","F","Ford Motor Company","Акции иностранного эмитента обыкновенные","US3453708600","10.08.2022"
"114","FAST","Fastenal Company","Акции иностранного эмитента обыкновенные","US3119001044","17.08.2022"
"115","FATE","Fate Therapeutics, Inc.","Акции иностранного эмитента обыкновенные","US31189P1021","10.08.2022"
"116","FBHS","Fortune Brands Home & Security, Inc.","Акции иностранного эмитента обыкновенные","US34964C1062","10.08.2022"
"117","FCX","Freeport-McMoRan Inc.","Акции иностранного эмитента обыкновенные","US35671D8570","10.08.2022"
"118","FDX","FedEx Corporation","Акции иностранного эмитента обыкновенные","US31428X1063","10.08.2022"
"119","FITB","Fifth Third Bancorp","Акции иностранного эмитента обыкновенные","US3167731005","17.08.2022"
"120","FLO","Flowers Foods, Inc.","Акции иностранного эмитента обыкновенные","US3434981011","17.08.2022"
"121","FOLD","Amicus Therapeutics, Inc.","Акции иностранного эмитента обыкновенные","US03152W1099","17.08.2022"
"122","FSLR","First Solar, Inc.","Акции иностранного эмитента обыкновенные","US3364331070","10.08.2022"
"123","FTCH","Farfetch Limited","Акции иностранного эмитента обыкновенные класса A","KY30744W1070","10.08.2022"
"124","FTI","TechnipFMC plc","Акции иностранного эмитента обыкновенные","GB00BDSFG982","10.08.2022"
"125","FTV","Fortive Corporation","Акции иностранного эмитента обыкновенные","US34959J1088","10.08.2022"
"126","GBT","Global Blood Therapeutics, Inc.","Акции иностранного эмитента обыкновенные","US37890U1088","17.08.2022"
"127","GDDY","GoDaddy Inc.","Акции иностранного эмитента обыкновенные класса A","US3802371076","17.08.2022"
"128","GH","Guardant Health, Inc.","Акции иностранного эмитента обыкновенные","US40131M1099","17.08.2022"
"129","GILD","GILEAD SCIENCES, INC.","Акции иностранного эмитента обыкновенные","US3755581036","10.08.2022"
"130","GIS","General Mills, Inc.","Акции иностранного эмитента обыкновенные","US3703341046","10.08.2022"
"131","GLW","Corning Incorporated","Акции иностранного эмитента обыкновенные","US2193501051","17.08.2022"
"132","GM","General Motors Company","Акции иностранного эмитента обыкновенные","US37045V1008","10.08.2022"
"133","GOLD","Barrick Gold Corporation","Акции иностранного эмитента обыкновенные","CA0679011084","10.08.2022"
"134","GOOGL","Alphabet Inc.","Акции иностранного эмитента обыкновенные класса A","US02079K3059","10.08.2022"
"135","GPN","Global Payments Inc.","Акции иностранного эмитента обыкновенные","US37940X1028","17.08.2022"
"136","GPS","The Gap, Inc.","Акции иностранного эмитента обыкновенные","US3647601083","10.08.2022"
"137","GS","The Goldman Sachs Group, Inc.","Акции иностранного эмитента обыкновенные","US38141G1040","10.08.2022"
"138","GT","The Goodyear Tire & Rubber Company","Акции иностранного эмитента обыкновенные","US3825501014","10.08.2022"
"139","HAL","Halliburton Company","Акции иностранного эмитента обыкновенные","US4062161017","10.08.2022"
"140","HBAN","Huntington Bancshares Incorporated","Акции иностранного эмитента обыкновенные","US4461501045","17.08.2022"
"141","HBI","Hanesbrands Inc.","Акции иностранного эмитента обыкновенные","US4103451021","10.08.2022"
"142","HD","The Home Depot, Inc.","Акции иностранного эмитента обыкновенные","US4370761029","10.08.2022"
"143","HIG","The Hartford Financial Services Group, Inc.","Акции иностранного эмитента обыкновенные","US4165151048","17.08.2022"
"144","HOG","Harley-Davidson, Inc.","Акции иностранного эмитента обыкновенные","US4128221086","17.08.2022"
"145","HON","Honeywell International Inc.","Акции иностранного эмитента обыкновенные","US4385161066","17.08.2022"
"146","HPE","Hewlett Packard Enterprise Company","Акции иностранного эмитента обыкновенные","US42824C1099","17.08.2022"
"147","HRB","H&R Block, Inc.","Акции иностранного эмитента обыкновенные","US0936711052","17.08.2022"
"148","HRL","Hormel Foods Corporation","Акции иностранного эмитента обыкновенные","US4404521001","10.08.2022"
"149","HTHT","Citibank, N.A.","Депозитарные расписки Citibank, N.A., удостоверяющие права в отношении обыкновенных акций H World Group Limited","US44332N1063","17.08.2022"
"150","IBM","International Business Machines Corporation","Акции иностранного эмитента обыкновенные","US4592001014","10.08.2022"
"151","ICE","Intercontinental Exchange, Inc.","Акции иностранного эмитента обыкновенные","US45866F1049","10.08.2022"
"152","IIVI","II-VI Incorporated","Акции иностранного эмитента обыкновенные","US9021041085","17.08.2022"
"153","INCY","Incyte Corporation","Акции иностранного эмитента обыкновенные","US45337C1027","17.08.2022"
"154","INTC","Intel Corporation","Акции иностранного эмитента обыкновенные","US4581401001","10.08.2022"
"155","IOVA","Iovance Biotherapeutics, Inc.","Акции иностранного эмитента обыкновенные","US4622601007","10.08.2022"
"156","IP","International Paper Company","Акции иностранного эмитента обыкновенные","US4601461035","17.08.2022"
"157","ISRG","Intuitive Surgical, Inc.","Акции иностранного эмитента обыкновенные","US46120E6023","17.08.2022"
"158","JBL","Jabil Inc.","Акции иностранного эмитента обыкновенные","US4663131039","17.08.2022"
"159","JD","Deutsche Bank Trust Company Americas","Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций класса A JD.com, Inc.","US47215P1066","10.08.2022"
"160","JNJ","Johnson & Johnson","Акции иностранного эмитента обыкновенные","US4781601046","10.08.2022"
